201,201,201,201,201,201,201,201,202,202,202,202,202,202,202,202,203,203,203,203,203,203,203,203,204,204,204,204,204,204,204,204,205,205,205,205,205,205,205,205,206,206,206,206,206,206,206,206,207,207,207,207,207,207,207,207,208,208,208,208,208,208,208,208,209,209,209,209,209,209,209,209,210,210,210,210,210,210,210,210,211,211,211,211,211,211,211,211,212,212,212,212,212,212,212,212,213,213,213,213,213,213,213,213,214,214,214,214,214,214,214,214,215,215,215,215,215,215,215,215,216,216,216,216,216,216,216,216,217,217,217,217,217,217,217,217,218,218,218,218,218,218,218,218,219,219,219,219,219,219,219,219,220,220,220,220,220,220,220,220,221,221,221,221,221,221,221,221,222,222,222,222,222,222,222,222,223,223,223,223,223,223,223,223,224,224,224,224,224,224,224,224,225,225,225,225,225,225,225,225,226,226,226,226,226,226,226,226
0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7
19.4595,20.5089,19.4587,24.1119,17.9647,16.8298,10.7874,9.0377,19.4589,20.5065,19.4581,24.1124,17.9647,16.8286,10.7867,9.0365,19.4583,20.5042,19.4575,24.1129,17.9648,16.8274,10.7861,9.0352,19.4576,20.5018,19.4569,24.1134,17.9648,16.8263,10.7854,9.0339,19.457,20.4994,19.4563,24.114,17.9649,16.8251,10.7848,9.0326,19.4564,20.497,19.4557,24.1145,17.9649,16.8239,10.7841,9.0313,19.4558,20.4946,19.4552,24.115,17.9649,16.8227,10.7835,9.03,19.4552,20.4922,19.4546,24.1155,17.965,16.8216,10.7828,9.0287,19.4545,20.4899,19.454,24.116,17.965,16.8204,10.7822,9.0274,19.4539,20.4875,19.4534,24.1165,17.965,16.8192,10.7815,9.0261,19.4533,20.4851,19.4528,24.1171,17.9651,16.8181,10.7809,9.0248,19.4527,20.4827,19.4522,24.1176,17.9651,16.8169,10.7802,9.0235,19.452,20.4803,19.4517,24.1181,17.9651,16.8157,10.7796,9.0223,19.4514,20.4779,19.4511,24.1186,17.9652,16.8145,10.7789,9.021,19.4508,20.4756,19.4505,24.1191,17.9652,16.8134,10.7783,9.0197,19.4502,20.4732,19.4499,24.1196,17.9652,16.8122,10.7776,9.0184,19.4496,20.4708,19.4493,24.1201,17.9653,16.811,10.777,9.0171,19.4489,20.4684,19.4487,24.1207,17.9653,16.8099,10.7763,9.0158,19.4483,20.466,19.4481,24.1212,17.9653,16.8087,10.7757,9.0145,19.4477,20.4636,19.4476,24.1217,17.9654,16.8075,10.775,9.0132,19.4471,20.4613,19.447,24.1222,17.9654,16.8063,10.7744,9.0119,19.4464,20.4589,19.4464,24.1227,17.9655,16.8052,10.7737,9.0106,19.4458,20.4565,19.4458,24.1232,17.9655,16.804,10.7731,9.0094,19.4452,20.4541,19.4452,24.1238,17.9655,16.8028,10.7724,9.0081,19.4446,20.4517,19.4446,24.1243,17.9656,16.8017,10.7718,9.0068,19.444,20.4493,19.444,24.1248,17.9656,16.8005,10.7711,9.0055
5.6341,7.9741,8.1592,9.1472,5.9793,7.9095,1.0303,5.469,5.6346,7.9765,8.159,9.1476,5.9821,7.9113,1.0308,5.4724,5.6352,7.9789,8.1587,9.1481,5.9849,7.9131,1.0313,5.4757,5.6357,7.9813,8.1585,9.1486,5.9877,7.9149,1.0318,5.4791,5.6363,7.9838,8.1582,9.149,5.9905,7.9168,1.0322,5.4825,5.6369,7.9862,8.1579,9.1495,5.9932,7.9186,1.0327,5.4858,5.6374,7.9886,8.1577,9.15,5.996,7.9204,1.0332,5.4892,5.638,7.991,8.1574,9.1505,5.9988,7.9222,1.0337,5.4926,5.6385,7.9934,8.1571,9.1509,6.0016,7.9241,1.0342,5.496,5.6391,7.9958,8.1569,9.1514,6.0044,7.9259,1.0347,5.4993,5.6397,7.9982,8.1566,9.1519,6.0071,7.9277,1.0351,5.5027,5.6402,8.0006,8.1564,9.1523,6.0099,7.9295,1.0356,5.5061,5.6408,8.003,8.1561,9.1528,6.0127,7.9314,1.0361,5.5095,5.6413,8.0055,8.1558,9.1533,6.0155,7.9332,1.0366,5.5128,5.6419,8.0079,8.1556,9.1537,6.0182,7.935,1.0371,5.5162,5.6424,8.0103,8.1553,9.1542,6.021,7.9368,1.0376,5.5196,5.643,8.0127,8.155,9.1547,6.0238,7.9387,1.038,5.5229,5.6436,8.0151,8.1548,9.1551,6.0266,7.9405,1.0385,5.5263,5.6441,8.0175,8.1545,9.1556,6.0294,7.9423,1.039,5.5297,5.6447,8.0199,8.1543,9.1561,6.0321,7.9441,1.0395,5.5331,5.6452,8.0223,8.154,9.1566,6.0349,7.946,1.04,5.5364,5.6458,8.0247,8.1537,9.157,6.0377,7.9478,1.0405,5.5398,5.6464,8.0271,8.1535,9.1575,6.0405,7.9496,1.0409,5.5432,5.6469,8.0296,8.1532,9.158,6.0433,7.9514,1.0414,5.5465,5.6475,8.032,8.1529,9.1584,6.046,7.9533,1.0419,5.5499,5.648,8.0344,8.1527,9.1589,6.0488,7.9551,1.0424,5.5533
